song_id,hot
52,10885
47,10556
216,9808
242,9411
55,9004
107,8787
2882,8780
558,8403
248,8112
973,7903
149,7725
562,7608
91,7224
335,7061
45,6901
49454,6879
255882,6536
265695,6399
461,6187
1130,6160
267544,6140
125,6012
1090,6003
629,5787
50,5784
202372,5588
49,5480
47100,5460
53,5412
247,5361
92,5305
173,5298
291443,5233
460,5224
171,5202
150,5110
843,5086
639,5012
164,5001
148054,4982
324,4956
347,4888
167,4813
324736,4778
406,4766
186,4761
384,4679
281752,4650
616,4592
1510,4571
459,4470
1280,4432
190896,4425
542,4414
15,4366
2517,4350
293053,4331
340,4251
106,4248
1511,4212
4106,4209
448,4161
1177,4147
579,4133
110,4132
780,4117
1445,4112
210,4060
361,4042
1432,4029
72,3999
90,3994
651,3950
628,3937
306,3937
54,3926
187612,3919
449,3862
1009,3841
842,3828
410,3825
329,3804
97,3743
51,3727
252011,3707
290,3691
2078,3675
341,3666
293440,3658
956,3654
222415,3648
727,3636
734,3624
202373,3623
13,3617
78926,3609
355,3583
119603,3577
360,3555
450,3512
1235,3505
314483,3482
202,3478
3020,3450
2203,3434
322305,3410
1131,3387
2354,3347
2131,3270
1636,3221
1188,3201
582,3162
385,3140
345,3104
134,3054
285316,3051
305,3039
187753,3030
176,3028
317,2992
166,2989
444,2963
184668,2958
443,2933
157182,2919
326,2901
123779,2874
630,2843
269,2826
238267,2806
293055,2785
1193,2775
1814,2771
241562,2768
155,2765
966,2752
219531,2747
2369,2742
257624,2732
62,2720
2353,2693
281873,2673
172,2644
1137,2637
462,2618
2194,2615
168,2615
1609,2598
2736,2595
7,2590
271106,2577
1634,2554
48,2524
251950,2503
2252,2503
303,2477
2303,2471
918,2446
44987,2440
130147,2436
442,2427
762,2414
1580,2414
108,2411
3675,2399
546,2375
257623,2363
327273,2360
446,2356
301696,2352
451,2344
348603,2342
744,2324
179,2324
159,2320
217,2320
2146,2296
3454,2288
233881,2283
1259,2271
1326,2249
268,2240
272,2239
358,2239
1669,2236
1471,2224
3033,2222
187752,2208
1298,2183
891,2178
332450,2155
154377,2142
152,2138
3057,2131
117,2120
475,2118
158,2113
1125,2108
236,2103
3184,2081
1673,2081
431,2057
252148,2045
902,2040
165,2038
1093,2026
184946,2016
1550,2016
14,2014
274,1991
224,1978
1663,1976
1295,1973
1495,1972
313537,1971
4710,1970
21,1960
310,1958
3713,1956
238180,1956
123,1955
291868,1950
863,1947
4885,1942
612,1941
599,1928
1362,1925
184,1913
1296,1911
251,1906
214,1900
16,1892
580,1888
36305,1879
1565,1873
4252,1871
169,1862
55793,1860
834,1858
809,1852
544,1850
708,1848
1110,1843
289,1840
1631,1837
2315,1836
435,1829
1156,1819
1078,1818
